req2_content,req1_content,cos,pos_overlap_ratio,opposite_overlap_count,decision,jaccard,euclidean,levenshtein,jensen_shannon,ngram,bm25
The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,The help should be accessible to the users both in the offline and online mode,0.333,0.0,0,Yes,0.167,1.155,89,0.672,0.0,13.487
"The solution should send alerts (e.g., email, SMS) to the user if the user chooses to whenever any 
 action has been taken on the alert",The help should be accessible to the users both in the offline and online mode,0.354,0.0,0,Yes,0.129,1.137,86,0.699,0.0,12.201
The solution should enable the user to track the submitted defect or enhancement request.,The help should be accessible to the users both in the offline and online mode,0.37,0.0,0,No,0.174,1.123,55,0.655,0.0,7.769
"The solution should enable the help-desk user to view the reports on the submitted defects or enhancement requests category-wise, status-wise, and agewise.",The help should be accessible to the users both in the offline and online mode,0.393,0.0,0,Yes,0.172,1.102,107,0.647,0.0,13.487
The support solution should be accessible to the users both from within the application and also outside the application through a browser interface.,The help should be accessible to the users both in the offline and online mode,0.535,1.0,0,Yes,0.36,0.964,83,0.442,0.172,25.292
"An audit trail is a record of actions taken by either the user or the system triggers. This includes actions taken by users or Administrators, or actions initiated automatically by the system as a result of system parameters. The System must keep an unalterable audit trail capable of automatically capturing and storing information about: All the actions (create/read/update/delete) that are taken upon the critical entities (case, suspect, property,…) in the system The user initiating and or carrying out the action; The date and time of the event. Administrative parameters The word “unalterable” is to mean that the audit trail data cannot be modified in any way or deleted by any user; it may be subject to re-department and copying to removable media if required, so long as its contents remain unchanged.",The help should be accessible to the users both in the offline and online mode,0.381,0.045,0,Yes,0.077,1.113,743,0.708,0.0,-63.267
"The System must allow only admin-users to set up user profiles and allocate
users to groups.",The help should be accessible to the users both in the offline and online mode,0.26,0.167,0,No,0.16,1.216,66,0.717,0.0,8.435
"Once the audit trail functionality has been activated, the System must track events without manual intervention, and store in the audit trail information about them.",The help should be accessible to the users both in the offline and online mode,0.26,0.0,0,No,0.094,1.217,120,0.772,0.0,9.151
"The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers.",The help should be accessible to the users both in the offline and online mode,0.299,0.25,0,No,0.125,1.184,97,0.732,0.0,13.244
"The System must ensure that audit trail data is available for inspection on request, so that a specific event can be identified and all related data made accessible, and that this can be achieved by authorised external personnel who have little or no familiarity with the system.",The help should be accessible to the users both in the offline and online mode,0.189,0.167,0,No,0.078,1.274,225,0.815,0.0,32.081
The System must be able to export audit trails for specified cases (without affecting the audit trail stored by the System). This functionality can be used by external auditors who wish to examine or analyse system activity.,The help should be accessible to the users both in the offline and online mode,0.239,0.111,0,No,0.095,1.234,174,0.758,0.0,20.161
"The System must be able to capture and store violations (i.e. A user’s attempts to access a case to which he is denied access), and (where violations can validly be attempted) attempted violations, of access control mechanisms.",The help should be accessible to the users both in the offline and online mode,0.186,0.143,0,No,0.098,1.276,175,0.766,0.0,20.161
The System must at a minimum be able to provide reports for actions on cases organised: By case,The help should be accessible to the users both in the offline and online mode,0.163,0.333,0,No,0.103,1.294,66,0.818,0.0,6.868
"The System should be able to provide reports for actions on cases organised by
workstation and (where technically appropriate) by network address.",The help should be accessible to the users both in the offline and online mode,0.2,0.333,0,No,0.167,1.265,99,0.727,0.0,13.487
"The System must allow the user to limit access to cases to specified users or
user groups.",The help should be accessible to the users both in the offline and online mode,0.286,0.167,0,No,0.167,1.195,65,0.686,0.0,8.789
The system should provide for role-based control for the functionality within the system,The help should be accessible to the users both in the offline and online mode,0.289,0.0,0,No,0.143,1.192,58,0.714,0.0,5.593
The System must allow a user to be a member of more than one group.,The help should be accessible to the users both in the offline and online mode,0.189,0.5,0,No,0.12,1.274,54,0.8,0.0,6.071
"The System should allow a user to stipulate which other users or groups can
access cases.",The help should be accessible to the users both in the offline and online mode,0.217,0.167,0,No,0.154,1.252,61,0.742,0.0,8.435
"The System must allow changes to security attributes for groups or users (such
as access rights, security level, privileges, password allocation and management)
to be made only by super-user.",The help should be accessible to the users both in the offline and online mode,0.193,0.333,0,No,0.139,1.27,147,0.745,0.0,17.978
"If a user requests access to, or searches for, a case which he does not have the
right to access, the System must provide one of the following responses
(selectable at configuration time):
· display title and metadata;
· display the existence of a case but not its title or other metadata;
· do not display any case information or indicate its existence in any way.
These options are presented in order of increasing security. Note that the
requirement in the third option (i.e. the most stringent) implies that the System
must not include such cases in any count of search results; this level of security
is normally appropriate for cases dealing with matters such as national security.",The help should be accessible to the users both in the offline and online mode,0.271,0.0,0,No,0.045,1.208,630,0.823,0.0,-43.014
"8.
If a user performs a quick or advanced search, the System must never include in
the search result list any record which the user does not have the right to access.",The help should be accessible to the users both in the offline and online mode,0.299,0.0,0,No,0.079,1.184,127,0.782,0.0,12.22
"If the System allows users to make unauthorised attempts to access cases, it
must log these in the audit trail.",The help should be accessible to the users both in the offline and online mode,0.299,0.143,0,No,0.143,1.184,83,0.689,0.0,9.941
"Any access to cases, and all other activities involving the cases and related
documents or data should also need to be stored in the audit trail to ensure legal
admissibility and to assist in data recovery.",The help should be accessible to the users both in the offline and online mode,0.343,0.167,0,Yes,0.167,1.146,159,0.615,0.0,28.96
"All error messages produced by the System must be meaningful, so that they can be
appropriately acted upon by the users who are likely to see them. Ideally, each error
message will be accompanied by explanatory text and an indication of the action(s)
which the user can take in response to the error.",The help should be accessible to the users both in the offline and online mode,0.359,0.111,0,Yes,0.12,1.132,247,0.68,0.0,66.683
"The System must employ a single set of user interface rules, or a small number of
sets to provide a familiar and common look and feel for the application.",The help should be accessible to the users both in the offline and online mode,0.22,0.0,0,No,0.114,1.249,110,0.777,0.0,14.382
"The System must be able to display several entities (cases, suspects) simultaneously.",The help should be accessible to the users both in the offline and online mode,0.198,0.5,0,No,0.13,1.267,61,0.777,0.0,5.369
"The interfaces must be made customizable or user-configurable to the extent
possible. (e.g., the displayed columns in the table, move, resize, modify the
appearance). Such configurations must be saved in the user profile.",The help should be accessible to the users both in the offline and online mode,0.429,0.2,0,Yes,0.143,1.068,168,0.644,0.0,21.24
"The System user interface must be suitable for users with special needs; that is,
compatible with specialist software that may be used and with appropriate interface
guidelines",The help should be accessible to the users both in the offline and online mode,0.153,0.25,0,No,0.125,1.301,132,0.784,0.0,13.244
"The System must provide End User and Administrator functions which are easy to
use and intuitive throughout.",The help should be accessible to the users both in the offline and online mode,0.192,0.0,0,No,0.111,1.271,76,0.788,0.0,6.591
"The System must allow persistent defaults for data entry where desirable. These
defaults should include:
· user-definable values;
· values same as previous item;
· values derived from context, e.g. date, file reference, user identifier;",The help should be accessible to the users both in the offline and online mode,0.079,0.0,0,No,0.047,1.357,191,0.916,0.0,9.248
"Frequently-executed System transactions must be designed so that they can be
completed with a small number of interactions (e.g. mouse clicks).",The help should be accessible to the users both in the offline and online mode,0.05,0.25,0,No,0.03,1.378,102,0.921,0.0,2.589
"Where the System employs a graphical user interface, it must allow users to
customise it. Customisation should include, but need not be limited to the following
changes:
· menu contents;
· layout of screens;
· use of function keys;
· on-screen colours, fonts and font sizes;",The help should be accessible to the users both in the offline and online mode,0.244,0.143,0,No,0.125,1.23,224,0.733,0.0,45.776
The user interfaces should be designed to make them user-intuitive.,The help should be accessible to the users both in the offline and online mode,0.236,0.333,0,No,0.2,1.236,56,0.676,0.0,6.604
The user interfaces of the system should comply with Standard ISO 9241.,The help should be accessible to the users both in the offline and online mode,0.26,0.0,0,No,0.13,1.216,58,0.747,0.0,5.369
"ICT accessibility: ISO 9241-20 shall be the standard for guidance on ICT
accessibility. Application user interfaces to meet its requirements and
recommendations. Software accessibility ISO 9241-171 shall be the standard for
guidance on software accessibility. User interfaces should meet its requirements
and recommendations. Content accessibility WCAG 1.0 shall be the standard used
for guidance on content accessibility. The application logo to be available on all
pages as a link to the home page.",The help should be accessible to the users both in the offline and online mode,0.25,0.143,0,No,0.118,1.225,440,0.712,0.0,933.924
"Providing text equivalents for non-text media objects: All non-text media objects,
such as graphical images or video, should be provided with alternative equivalent
textual descriptions and/or with equivalent text-based functionality.",The help should be accessible to the users both in the offline and online mode,0.046,0.25,0,No,0.053,1.382,191,0.908,0.0,7.495
"Making navigation self-descriptive: Navigation should be designed to help users
understand where they are, where they have been and where they can go next.
General guidance on achieving self-descriptiveness is given in ISO 9241-110.",The help should be accessible to the users both in the offline and online mode,0.12,0.2,0,No,0.189,1.326,182,0.701,0.0,31.019
"Showing users where they are: Each presentation segment (page or window)
should provide the user with a clear and sufficient indication of where he or she is
in the navigation structure and of the current segment position with respect to the
overall structure.",The help should be accessible to the users both in the offline and online mode,0.324,0.077,0,Yes,0.143,1.163,208,0.686,0.0,39.621
"Offering alternative access paths: Alternative access paths for navigating to a
specific unit of content should be offered to support different navigation
strategies.",The help should be accessible to the users both in the offline and online mode,0.088,0.2,0,No,0.094,1.35,128,0.818,0.0,8.431
"Minimizing navigation effort: The number of navigation steps needed to reach a
certain piece of content should be minimized as long as different mental models,
navigation strategies and tasks of the user are taken into account.",The help should be accessible to the users both in the offline and online mode,0.193,0.143,0,No,0.154,1.27,181,0.74,0.0,28.96
"Splash screens should be avoided unless they provide useful content or feedback
about the application state to the user. If a splash screen is used, a navigation
option to skip it should be offered.",The help should be accessible to the users both in the offline and online mode,0.268,0.125,0,No,0.103,1.21,147,0.727,0.0,17.725
"Avoiding opening unnecessary windows: Additional windows such as new browser
windows or pop-up windows should only be opened if this supports the user’s
task. Opening new windows can distract, confuse or impede users for a variety of
reasons. They can superimpose the primary window, hiding relevant information.
They could make it cognitively more difficult to understand the navigation
structure with negative effects on both usability and accessibility. They also require
additional user actions for closing unwanted windows.",The help should be accessible to the users both in the offline and online mode,0.184,0.083,0,No,0.096,1.278,469,0.78,0.0,-1136.476
"Vertical scrolling should be minimized. This may be done by placing important
information at the top and providing links to information that is further down the
page. Horizontal scrolling should be avoided wherever possible.",The help should be accessible to the users both in the offline and online mode,0.277,0.111,0,No,0.135,1.202,174,0.69,0.0,22.157
"Designing for input device independence: User interfaces should be designed to
allow activation of controls by a variety of input devices. The ability to choose
between different input devices for activating controls such as links, fields and
buttons is important both for users who prefer a certain input mode, mobile users
and users with disabilities. In general, device independence can be achieved if the
functionality is operable via a keyboard.",The help should be accessible to the users both in the offline and online mode,0.276,0.091,0,No,0.133,1.204,392,0.706,0.0,482.024
"Making user interfaces robust: User interfaces should be designed to be as robust
as possible in the face of changing technology. This encompasses being able to
present content containing newer technologies by older user agents as well as
designing content to be usable with future technologies.",The help should be accessible to the users both in the offline and online mode,0.17,0.083,0,No,0.111,1.288,240,0.752,0.0,38.146
"Acceptable opening / download times: Application pages should be designed and
implemented so that there are acceptable opening times and download times for
the expected range of technical contexts of use (e.g. bandwidth between the
application and the user). This is particularly important for frequently accessed
pages or pages that are important for user navigation and exploration, such as the
home page.",The help should be accessible to the users both in the offline and online mode,0.231,0.111,0,No,0.073,1.24,348,0.785,0.0,84.467
"Minimizing user errors: Potential user errors as well as the effort needed to
recover from errors should be minimized.",The help should be accessible to the users both in the offline and online mode,0.15,0.2,0,No,0.154,1.303,89,0.743,0.0,9.541
"Providing clear error messages: The content of error messages shown on the pages
or special error pages should clearly state the reason why the error occurred and, if
possible, actions the user can take to resolve the error. Users expect error messages
to be in the same language as the user interface.",The help should be accessible to the users both in the offline and online mode,0.399,0.143,0,Yes,0.13,1.097,243,0.684,0.0,62.916
"Using appropriate formats, units of measurement or currency: When designing
user interfaces for use by diverse groups, input and output of information
elements such as currency, units of measurement, temperatures, date and time,
phone numbers, address or postal codes should be designed so that they are
usable.",The help should be accessible to the users both in the offline and online mode,0.059,0.2,0,No,0.057,1.372,263,0.877,0.0,24.061
"Making text resizable by the user: Text should be able to be resized by the user,
using functions provided by the user agent or other appropriate means i.e. see ISO
9241-171.",The help should be accessible to the users both in the offline and online mode,0.251,0.125,0,No,0.111,1.224,127,0.731,0.0,15.626
"Text quality: The quality of textual content with respect to spelling and grammar
should be sufficient so as not to impede readability.",The help should be accessible to the users both in the offline and online mode,0.226,0.333,0,No,0.167,1.244,100,0.704,0.0,13.487
"Writing style: The reading and understanding of the textual content on the screen
should be supported by suitable means, including the use of short sentences, the
division of the text into shorter chunks or the presentation of content items in the
form of bullet points.",The help should be accessible to the users both in the offline and online mode,0.393,0.25,0,Yes,0.143,1.102,214,0.676,0.0,43.587
"Supporting text skimming: Fast skimming of text should be supported by the
provision of clear links, bulleted lists, highlighted keywords, logical headings, and
short phrases and sentences.",The help should be accessible to the users both in the offline and online mode,0.163,0.2,0,No,0.118,1.294,147,0.768,0.0,13.244
"Readability of text: Text presented on the pages should be readable taking into
account the expected display characteristics and spatial arrangement. ISO 9241-303
shall be consulted for screen text legibility requirements.",The help should be accessible to the users both in the offline and online mode,0.214,0.167,0,No,0.103,1.254,175,0.754,0.0,15.626
"Distinguishable within-page links: Within-page links should be clearly
distinguishable from other links that lead to a different page. EX. Within-page
links are shown with dashed rather than solid underlines",The help should be accessible to the users both in the offline and online mode,0.044,0.25,0,No,0.081,1.383,154,0.86,0.0,10.787
"Avoiding link overload: Text pages containing large proportions of links should
be formatted so that the presence of links does not impede the readability of the
text.",The help should be accessible to the users both in the offline and online mode,0.23,0.167,0,No,0.091,1.241,128,0.781,0.0,9.933
"Using familiar terminology for navigation links: Navigation links — particularly
links representing the main navigation structure — should be labelled with terms
that are familiar to the user, based on his/her general knowledge, prior experience
in the application domain or experience of using other systems.",The help should be accessible to the users both in the offline and online mode,0.22,0.125,0,No,0.106,1.249,256,0.764,0.0,36.322
