req2_content,req1_content,cos,pos_overlap_ratio,opposite_overlap_count,jaccard,euclidean,levenshtein,jensen_shannon,ngram,bm25,decision
"The user can add his personal information including name, address etc.",The user should be able to create an account and login to the site.,0.122,0.2,0,0.091,1.325,47,0.839,0,3.386,No
User can bookmark any product he likes.,The user should be able to create an account and login to the site.,0.047,0,0,0,1.38,47,1,0,0,No
User can search for a specific product.,The user should be able to create an account and login to the site.,0.052,0,0,0,1.377,50,1,0,0,No
User can filter product by categories.,The user should be able to create an account and login to the site.,0.052,0,0,0,1.377,50,1,0,0,No
An account will be provided to the user to log in.,The user should be able to create an account and login to the site.,0.498,0.5,0,0.278,1.002,48,0.518,0,8.466,Yes
User can filter product by categories and prices.,The user should be able to create an account and login to the site.,0.093,0,0,0.05,1.347,49,0.907,0,1.49,No
The user can add his name and photo.,The user should be able to create an account and login to the site.,0.205,0.25,0,0.167,1.261,44,0.721,0,4.469,No
User can search a product.,The user should be able to create an account and login to the site.,0.065,0,0,0,1.368,52,1,0,0,No
User can not save any product.,The user should be able to create an account and login to the site.,0.052,0,0,0,1.377,50,1,0,0,No
"By clicking on a product, user can view details of a product.",The user should be able to create an account and login to the site.,0.036,0,0,0.043,1.389,53,0.923,0,1.769,No
"Clicking on Buy Now, will take the user to checkout page.",The user should be able to create an account and login to the site.,0.223,0.25,0,0.143,1.247,53,0.727,0,5.079,No
User must be logged in to checkout.,The user should be able to create an account and login to the site.,0.222,0.333,0,0.111,1.247,44,0.759,0,2.861,No
"In the checkout page, the user can add a new address different from his own.",The user should be able to create an account and login to the site.,0.175,0.25,0,0.08,1.285,56,0.835,0,4.037,No
The user can pay via Online Banking or select a cash on delivery method.,The user should be able to create an account and login to the site.,0.111,0.167,0,0.08,1.333,50,0.857,0,3.863,No
Products must have details to show.,The user should be able to create an account and login to the site.,0.108,0,0,0.056,1.336,50,0.846,0,1.376,No
The delivery address will be the same of the user's address.,The user should be able to create an account and login to the site.,0.284,0.5,0,0.15,1.197,51,0.731,0,5.079,No
Cash on delivery is not an option.,The user should be able to create an account and login to the site.,0.047,0,0,0.053,1.38,48,0.902,0,1.431,No
User must pay the bills using Dutch Bangla Bank or Bkash.,The user should be able to create an account and login to the site.,0.122,0,0,0.043,1.325,51,0.92,0,1.693,No
User can add a product to the cart.,The user should be able to create an account and login to the site.,0.293,0,0,0.105,1.189,46,0.774,0,2.98,No
"In the cart, any item can be removed or count can be changed.",The user should be able to create an account and login to the site.,0.135,0.25,0,0.091,1.315,49,0.824,0,3.696,No
Cart should be easy and dynamic to use.,The user should be able to create an account and login to the site.,0.27,0.5,0,0.235,1.208,41,0.588,0,5.959,No
Confirmation of cart will take the user to the checkout page.,The user should be able to create an account and login to the site.,0.304,0.2,0,0.15,1.18,53,0.698,0,5.079,No
Cart will be saved even if the user logs out.,The user should be able to create an account and login to the site.,0.179,0.333,0,0.15,1.281,47,0.748,0,4.864,No
Cart products cannot be changed.,The user should be able to create an account and login to the site.,0.057,0.5,0,0.059,1.373,52,0.887,0,1.328,No
Cart will be empty if the user session ends.,The user should be able to create an account and login to the site.,0.19,0.5,0,0.158,1.272,51,0.736,0,4.661,No
Multiple products will be added to cart.,The user should be able to create an account and login to the site.,0.157,0.333,0,0.111,1.298,51,0.759,0,2.861,No
"In admin panel, the admin can add products to different categories.",The user should be able to create an account and login to the site.,0.156,0,0,0.095,1.299,52,0.807,0,3.386,No
Admin can manage stocks in the inventory.,The user should be able to create an account and login to the site.,0.099,0,0,0.053,1.342,51,0.902,0,1.431,No
Discount can be applied on any product.,The user should be able to create an account and login to the site.,0.047,0.5,0,0.053,1.38,49,0.902,0,1.431,No
A product can have multiple variants.,The user should be able to create an account and login to the site.,0,0,0,0,1.414,51,1,0,0,No
A product can belong to different categories.,The user should be able to create an account and login to the site.,0.108,0,0,0.053,1.336,50,0.857,0,1.431,No
A product cannot have types.,The user should be able to create an account and login to the site.,0,0,0,0,1.414,50,1,0,0,No
Product with stock zero will be deleted.,The user should be able to create an account and login to the site.,0.047,0.5,0,0.053,1.38,51,0.902,0,1.431,No
A restocked product should appear normally.,The user should be able to create an account and login to the site.,0.057,0,0,0.056,1.373,52,0.895,0,1.376,No
User can bookmark any product he likes.,"The user can add his personal information including name, address etc.",0.13,0,0,0.059,1.319,51,0.887,0,1.284,No
User can search for a specific product.,"The user can add his personal information including name, address etc.",0.143,0,0,0.059,1.309,49,0.887,0,1.284,No
User can filter product by categories.,"The user can add his personal information including name, address etc.",0.143,0,0,0.062,1.309,49,0.879,0,1.217,No
An account will be provided to the user to log in.,"The user can add his personal information including name, address etc.",0.092,0.2,0,0.05,1.347,55,0.909,0,1.602,No
User can filter product by categories and prices.,"The user can add his personal information including name, address etc.",0.121,0,0,0.056,1.326,47,0.894,0,1.355,No
The user can add his name and photo.,"The user can add his personal information including name, address etc.",0.477,0.5,0,0.357,1.022,40,0.47,0.25,6.777,Yes
User can search a product.,"The user can add his personal information including name, address etc.",0.184,0,0,0.067,1.277,51,0.87,0,1.158,No
User can not save any product.,"The user can add his personal information including name, address etc.",0.143,0,0,0.062,1.309,52,0.879,0,1.217,No
"By clicking on a product, user can view details of a product.","The user can add his personal information including name, address etc.",0.096,0,0,0.1,1.344,55,0.826,0,3.389,No
"Clicking on Buy Now, will take the user to checkout page.","The user can add his personal information including name, address etc.",0.101,0.2,0,0.048,1.341,58,0.909,0,1.602,No
User must be logged in to checkout.,"The user can add his personal information including name, address etc.",0.061,0,0,0,1.37,54,1,0,0,No
"In the checkout page, the user can add a new address different from his own.","The user can add his personal information including name, address etc.",0.368,0.5,0,0.25,1.125,60,0.613,0.048,10.022,Yes
The user can pay via Online Banking or select a cash on delivery method.,"The user can add his personal information including name, address etc.",0.145,0.167,0,0.136,1.308,47,0.759,0.05,5.686,No
Products must have details to show.,"The user can add his personal information including name, address etc.",0,0,0,0,1.414,57,1,0,0,No
The delivery address will be the same of the user's address.,"The user can add his personal information including name, address etc.",0.283,0.4,0,0.105,1.197,47,0.818,0,3.204,Yes
Cash on delivery is not an option.,"The user can add his personal information including name, address etc.",0,0,0,0,1.414,53,1,0,0,No
User must pay the bills using Dutch Bangla Bank or Bkash.,"The user can add his personal information including name, address etc.",0.101,0,0,0,1.341,52,1,0,0,No
