req2_content,req1_content,cos,pos_overlap_ratio,opposite_overlap_count,jaccard,euclidean,levenshtein,jensen_shannon,ngram,bm25,decision
"It should enable patient admission and discharge processes, including bed allocation and release.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.065,0,0,0.036,1.367,88,0.91,0,1.895,No
"The ERP system must support patient identification using unique identifiers, such as medical record numbers.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.138,0.25,0,0.103,1.313,89,0.812,0,6.109,No
It must provide real-time access to patient records for authorized healthcare professionals.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0,0,0,0,1.414,90,1,0,0,No
Anyone should be able to access patient records.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0,0,0,0,1.414,98,1,0,0,No
Bed allocation will be manual.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0,0,0,0,1.414,103,1,0,0,No
All patient should be given an id.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0,0,0,0,1.414,103,1,0,0,No
"The system should allow staff to schedule patient appointments for various services, including consultations, diagnostic tests, and surgeries.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.16,0.333,0,0.129,1.296,87,0.771,0,9.081,No
Appointment scheduling should consider the availability of healthcare providers and the resources required.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.219,0,0,0.115,1.25,101,0.776,0,5.685,No
"Patients should be able to request, reschedule, or cancel appointments through a patient portal.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.033,0,0,0,1.39,94,1,0,0,No
Automatic appointment reminders via email or SMS should be sent to patients.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.035,0.143,0,0,1.389,96,1,0,0,No
An appointment cannot be reshceduled.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0,0,0,0,1.414,102,1,0,0,No
Doctor should be able to manage appointments.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0,0,0,0,1.414,100,1,0,0,No
Appointment scheduling should have an eye on the availablity of the doctor.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.183,0,0,0.077,1.278,96,0.837,0,3.658,No
"The ERP system should track the inventory of medical supplies, drugs, and equipment.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.314,0.333,0,0.25,1.171,84,0.598,0,11.37,No
It must provide alerts for low stock levels and automate the reordering process.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.108,0,0,0.071,1.336,94,0.866,0,3.79,No
The system should allow for the categorization and easy retrieval of medical supplies and equipment.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.367,0.5,0,0.292,1.125,73,0.539,0,14.255,No
It must support barcode scanning for efficient tracking and stock management.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.036,0,0,0.037,1.388,92,0.928,0,1.766,No
It should support QR code to track stocks.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0,0,0,0,1.414,102,1,0,0,No
"When the supply stock is low, it must notify.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.084,0,0,0.04,1.353,100,0.921,0,1.649,No
Software should monitor the medicine stocks.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.105,0,0,0.045,1.338,101,0.907,0,1.503,No
"The system must store and manage electronic health records for patients, including medical history, treatment plans, test results, and medications.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.253,0.333,0,0.161,1.222,81,0.708,0,12.206,Yes
EHRs should be accessible to authorized healthcare providers for updating and reference.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.035,0,0,0.036,1.389,94,0.93,0,1.829,No
"It should support standardized coding systems (e.g., SNOMED CT, ICD-10) for diagnoses and procedures.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.032,0,0,0.033,1.391,98,0.935,0,1.964,No
The system must ensure data integrity and security of EHRs to comply with healthcare regulations.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.178,0.143,0,0.143,1.282,85,0.75,0,8.146,No
All the data must be encrypted.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.105,0,0,0.045,1.338,105,0.907,0,1.503,No
"The system should generate accurate bills for patients, including detailed information on services provided, medications, and associated costs.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.199,0.375,0,0.129,1.266,77,0.771,0,9.081,No
It must integrate with insurance systems for verification and claim processing.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.036,0,0,0.037,1.388,88,0.928,0,1.766,No
The ERP system should facilitate electronic payments and allow for multiple payment methods.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.193,0.5,0,0.154,1.27,81,0.732,0,7.58,No
It should provide financial reporting and analytics for hospital administrators.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.038,0,0,0.038,1.387,88,0.924,0,1.705,No
Insurance will also be managed through this software.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0,0,0,0,1.414,98,1,0,0,No
All kinds of payments should be done through online banking.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.038,0,0,0.038,1.387,95,0.924,0,1.705,No
"The system must manage employee records, including personal details, qualifications, and work history.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.293,0.429,0,0.25,1.189,70,0.598,0,11.37,Yes
"It should support the recruitment process, from posting job vacancies to candidate selection.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.069,0,0,0.034,1.364,88,0.933,0,1.895,No
"HR functions should include payroll management, leave tracking, and performance evaluations.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.036,0,0,0.037,1.388,96,0.928,0,1.766,No
The system should ensure compliance with labor laws and regulations.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.173,0.143,0,0.125,1.286,85,0.773,0,5.116,No
